,Identifies_the_type_of_dwelling,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Lot_configuration,LandSlope,Neighborhood,Condition1,Condition2,Type_of_dwelling,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Roof_material,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical_system,1stFlrSF,Low_quality_finished_square_feet,GrLivArea,BedroomAbvGr,KitchenAbvGr,Kitchen_Quality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Garage_location,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,Garage_condition,Paved driveway,Pool_quality,Fence_Quality,Miscellaneous_feature,miscellaneous_feature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,AgeAtSale,TotalSqFt,TotalBathrooms,TotalPorchArea,TotalFinishedSqFt,TotalQualityScore,TotalGarageScore,TotalOutdoorArea,DateSold,Sentiment
46,1-1/2 STORY FINISHED ALL AGES,RL,48,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83,1434,GasA,Ex,Y,SBrkr,1518,0,2149,1,1,Gd,6,Typ,1,Ex,Attchd,2003,RFn,2,670,TA,TA,Y,No,No,No,0,Aug,2009,WD,Abnorml,239686,66.89533910131175,6,3583,1.5,241,3500,12,1340,211,2009-08-01,0.0
47,1-STORY 1946 & NEWER ALL STYLES,FV,84,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,3,1,Gd,7,Typ,0,No,Attchd,2006,RFn,3,826,TA,TA,Y,No,No,No,0,Jul,2007,WD,Normal,249700,75.39251207729468,1,3312,2.0,146,1680,13,2478,146,2007-07-01,0.0
48,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,33,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,2008,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,736,GasA,Gd,Y,SBrkr,736,0,1452,2,3,TA,8,Typ,0,No,No,2005,No,0,0,No,No,N,No,No,No,0,Jun,2009,New,Partial,113000,51.645338208409505,89,2188,2.0,102,1452,9,0,0,2009-06-01,0.0
49,1-STORY 1946 & NEWER ALL STYLES,RL,66,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192,955,GasA,Ex,Y,SBrkr,955,0,955,3,1,TA,6,Typ,0,No,Attchd,1966,Unf,1,386,TA,TA,Y,No,MnPrv,No,0,Jan,2007,WD,Normal,127000,66.49214659685863,41,1910,1.0,0,1718,12,386,0,2007-01-01,0.0
50,2-STORY 1946 & NEWER,RL,0,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612,794,GasA,Gd,Y,SBrkr,794,0,1470,3,1,TA,6,Typ,0,No,Attchd,1997,Fin,2,388,TA,TA,Y,No,No,No,0,Jul,2007,WD,Normal,177000,78.18021201413427,10,2264,2.0,75,1652,12,776,75,2007-07-01,0.0
51,1-1/2 STORY FINISHED ALL AGES,RM,52,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,816,GasA,TA,Y,SBrkr,816,360,1176,3,1,TA,6,Typ,1,Gd,Detchd,1985,Unf,2,528,TA,TA,Y,No,MnPrv,Shed,400,Sep,2006,WD,Normal,114500,57.47991967871486,72,1632,1.0,0,1176,12,1056,112,2006-09-01,0.0
52,DUPLEX - ALL STYLES AND AGES,RM,110,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,Wd Sdng,0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,0,816,GasA,TA,N,SBrkr,816,0,816,2,1,TA,5,Typ,0,No,CarPort,1963,Unf,2,516,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,110000,67.40196078431373,47,1632,1.0,0,1632,10,1032,106,2010-05-01,0.0
53,1-STORY 1946 & NEWER ALL STYLES,RL,68,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1987,Gable,WdShngl,WdShing,Wd Shng,0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,1,Gd,5,Typ,1,Gd,Attchd,1981,Fin,3,894,TA,TA,Y,No,No,No,0,Nov,2006,WD,Normal,385000,104.50597176981542,25,3684,0.5,72,3652,14,2682,929,2006-11-01,0.0
54, SPLIT OR MULTI-LEVEL,RL,60,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,384,GasA,TA,Y,SBrkr,1360,0,1360,3,1,TA,6,Min1,1,TA,Detchd,1962,Unf,2,572,TA,TA,Y,No,MnPrv,No,0,Feb,2007,WD,Normal,130000,74.54128440366972,52,1744,1.0,50,1744,10,1144,50,2007-02-01,0.0
55,1-STORY 1946 & NEWER ALL STYLES,RL,100,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,Plywood,272,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,3,1,TA,7,Typ,1,Gd,Attchd,1964,RFn,2,576,TA,TA,Y,No,No,No,0,Jul,2008,WD,Normal,180500,63.333333333333336,44,2850,2.0,407,1915,11,1152,0,2008-07-01,0.0
56,2-STORY PUD - 1946 & NEWER,FV,24,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,2000,Gable,CompShg,MetalSd,MetalSd,456,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321,970,GasA,Ex,Y,SBrkr,983,0,1739,3,1,Gd,7,Typ,0,No,Attchd,1999,Fin,2,480,TA,TA,Y,No,No,No,0,Aug,2009,WD,Abnorml,172500,63.67663344407531,10,2709,2.5,0,2388,13,960,115,2009-08-01,0.0
57,2-STORY 1946 & NEWER,RL,89,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,860,GasA,Ex,Y,SBrkr,860,0,1720,3,1,Gd,7,Typ,0,No,Attchd,2004,RFn,2,565,TA,TA,Y,No,No,No,0,Aug,2006,WD,Normal,196500,76.16279069767442,2,2580,2.5,70,1720,12,1130,70,2006-08-01,0.0
58,2-STORY 1946 & NEWER,RL,66,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,Hip,CompShg,VinylSd,VinylSd,1031,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,1410,GasA,Ex,Y,SBrkr,1426,0,2945,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,Fin,3,641,TA,TA,Y,No,No,No,0,Oct,2006,New,Partial,438780,100.75315729047072,0,4355,3.5,37,2945,15,1923,192,2006-10-01,0.0
59,1-STORY 1946 & NEWER ALL STYLES,RL,60,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,148,780,GasA,Ex,Y,SBrkr,780,0,780,2,1,TA,4,Typ,0,No,Detchd,1973,Unf,1,352,TA,TA,Y,No,MnPrv,No,0,Jan,2008,WD,Normal,124900,80.06410256410257,36,1560,1.0,0,1412,12,352,196,2008-01-01,0.0
60,1-STORY 1946 & NEWER ALL STYLES,RL,63,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,3,1,Gd,5,Typ,0,No,Detchd,2006,Unf,2,576,TA,TA,Y,No,No,No,0,May,2006,New,Partial,158000,68.22107081174438,2,2316,1.5,50,2099,11,1152,50,2006-05-01,0.0
61,2-1/2 STORY ALL AGES,RM,60,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1996,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,530,530,GasA,TA,N,SBrkr,581,0,1111,3,1,Fa,6,Typ,0,No,Detchd,1935,Unf,1,288,TA,TA,N,No,No,No,0,Mar,2007,WD,Normal,101000,61.5478366849482,87,1641,1.0,144,1111,12,288,0,2007-03-01,0.0
62,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,44,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,178,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2,484,TA,TA,Y,No,No,No,0,Oct,2007,WD,Normal,202500,73.9051094890511,1,2740,2.0,49,1394,13,968,169,2007-10-01,0.0
63,2-STORY 1945 & OLDER,RM,50,10300,Pave,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1950,Gable,CompShg,Stucco,Stucco,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,576,576,GasA,Gd,Y,SBrkr,902,0,1710,3,1,TA,9,Typ,0,No,Detchd,1990,Unf,2,480,TA,TA,Y,No,GdPrv,No,0,Apr,2010,WD,Normal,140000,61.24234470691164,89,2286,2.0,75,1710,13,960,23,2010-04-01,0.0
64,2-STORY 1946 & NEWER,RL,0,9375,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,573,TA,TA,PConc,Gd,TA,No,GLQ,Unf,318,1057,GasA,Ex,Y,SBrkr,1057,0,2034,3,1,Gd,8,Typ,0,No,Attchd,1998,RFn,2,645,TA,TA,Y,No,GdPrv,No,0,Feb,2009,WD,Normal,219500,71.01261727596247,12,3091,2.5,36,2773,12,1290,612,2009-02-01,0.0
65,2-STORY 1946 & NEWER,RL,76,9591,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,344,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1143,1143,GasA,Ex,Y,SBrkr,1143,0,2473,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,RFn,3,852,TA,TA,Y,No,No,No,0,Oct,2007,WD,Normal,317000,87.66592920353982,3,3616,2.5,151,2473,13,2556,343,2007-10-01,0.0
66,1-STORY 1946 & NEWER ALL STYLES,RL,0,19900,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1989,Gable,CompShg,Plywood,Plywood,287,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,1035,1947,GasA,TA,Y,SBrkr,2207,0,2207,3,1,TA,7,Min1,1,Gd,Attchd,1970,RFn,2,576,TA,TA,Y,No,No,No,0,Jul,2010,WD,Normal,180000,43.331728454501686,40,4154,2.0,0,3119,12,1152,301,2010-07-01,0.0
67,1-STORY 1946 & NEWER ALL STYLES,RL,72,10665,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,167,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,440,1453,GasA,Ex,Y,SBrkr,1479,0,1479,3,1,Gd,7,Typ,0,No,Attchd,2003,RFn,2,558,TA,TA,Y,No,No,No,0,Jun,2007,WD,Normal,226000,77.08049113233288,4,2932,2.0,29,2492,12,1116,173,2007-06-01,0.0
68,1-STORY 1945 & OLDER,RM,47,4608,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,747,747,GasA,TA,Y,SBrkr,747,0,747,2,1,TA,4,Typ,0,No,Attchd,1945,Unf,1,220,TA,TA,Y,No,No,No,0,Jun,2010,WD,Normal,80000,53.5475234270415,65,1494,1.0,0,747,10,220,0,2010-06-01,0.0
69,1-1/2 STORY FINISHED ALL AGES,RL,81,15593,Pave,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,Gable,CompShg,BrkFace,AsbShng,0,Gd,TA,CBlock,TA,TA,No,BLQ,Unf,701,1304,GasW,TA,Y,SBrkr,1304,0,2287,3,1,TA,7,Typ,1,TA,Attchd,1953,Fin,2,667,TA,TA,Y,No,No,No,0,Jul,2006,WD,Normal,225000,62.65664160401003,53,3591,2.0,135,2890,11,1334,21,2006-07-01,0.0
70,1-STORY 1946 & NEWER ALL STYLES,RL,95,13651,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,Gable,CompShg,Plywood,Plywood,1115,TA,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,343,2223,GasA,Ex,Y,SBrkr,2223,0,2223,3,1,TA,8,Typ,2,Gd,Attchd,1973,Fin,2,516,TA,TA,Y,No,No,No,0,Feb,2007,WD,Normal,244000,54.88079172289699,34,4446,2.0,0,4103,13,1032,300,2007-02-01,0.0
71,1-STORY 1946 & NEWER ALL STYLES,RL,69,7599,Pave,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,4,6,2006,Gable,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,280,845,GasA,TA,Y,SBrkr,845,0,845,2,1,TA,4,Typ,0,No,Detchd,1987,Unf,2,360,TA,TA,Y,No,No,No,0,Jun,2007,WD,Normal,129500,76.62721893491124,25,1690,1.0,0,1410,10,720,0,2007-06-01,0.0
72,2-STORY 1946 & NEWER,RL,74,10141,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,40,TA,TA,PConc,Gd,TA,No,Unf,Unf,832,832,GasA,Gd,Y,SBrkr,885,0,1718,3,1,TA,7,Typ,1,TA,Attchd,1998,Fin,2,427,TA,TA,Y,No,No,No,0,Dec,2009,WD,Normal,185000,72.54901960784314,11,2550,2.5,385,1718,12,854,94,2009-12-01,0.0
73,1-STORY 1946 & NEWER ALL STYLES,RL,85,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2003,Gable,CompShg,Wd Sdng,Wd Sdng,104,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,404,1086,GasA,Gd,Y,SBrkr,1086,0,1086,3,1,TA,6,Typ,0,No,Attchd,1989,Unf,2,490,TA,TA,Y,No,GdWo,No,0,May,2010,WD,Normal,144900,66.71270718232044,56,2172,1.0,0,1768,12,980,0,2010-05-01,0.0
74,1-1/2 STORY FINISHED ALL AGES,RM,60,5790,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,3,6,1950,Gambrel,CompShg,VinylSd,VinylSd,0,Gd,Gd,CBlock,Fa,TA,No,Unf,Unf,840,840,GasA,Gd,N,SBrkr,840,0,1605,3,2,TA,8,Typ,0,No,Detchd,1915,Unf,1,379,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,107400,43.92638036809816,95,2445,2.0,202,1605,9,379,0,2010-05-01,0.0
75,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,21,1596,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,Gable,CompShg,CemntBd,CmentBd,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,0,462,GasA,TA,Y,SBrkr,526,0,988,2,1,TA,5,Typ,0,No,BuiltIn,1973,Unf,1,297,TA,TA,Y,No,GdWo,No,0,Nov,2009,WD,Normal,91000,62.758620689655174,36,1450,1.0,101,1450,9,297,221,2009-11-01,0.0
76,1-STORY 1946 & NEWER ALL STYLES,RL,0,8475,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,724,952,GasA,Ex,Y,FuseA,952,0,952,2,1,TA,4,Typ,0,No,Detchd,1956,Unf,1,283,TA,TA,Y,No,No,No,0,Apr,2008,WD,Normal,135750,71.29726890756302,52,1904,1.0,0,1180,11,283,0,2008-04-01,0.0
77,1-1/2 STORY FINISHED ALL AGES,RM,50,8635,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,CBlock,TA,TA,No,BLQ,GLQ,295,672,GasA,TA,Y,SBrkr,1072,0,1285,2,1,TA,6,Min1,0,No,Detchd,1948,Unf,1,240,TA,TA,Y,No,MnPrv,No,0,Jan,2008,WD,Normal,127000,64.89524782830864,60,1957,1.0,0,1662,10,240,0,2008-01-01,0.0
78,DUPLEX - ALL STYLES AND AGES,RL,72,10778,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,Hip,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1768,1768,GasA,TA,N,SBrkr,1768,0,1768,4,2,TA,8,Typ,0,No,No,2005,No,0,0,No,No,Y,No,No,No,0,Apr,2010,WD,Normal,136500,38.60294117647059,42,3536,2.0,0,1768,9,0,0,2010-04-01,0.0
79,1-1/2 STORY FINISHED ALL AGES,RM,60,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1981,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,TA,TA,No,Unf,Unf,440,440,GasA,Gd,Y,SBrkr,682,0,1230,2,1,TA,5,Typ,0,No,Detchd,1966,Unf,2,440,TA,TA,Y,No,MnPrv,No,0,May,2009,WD,Normal,110000,65.86826347305389,99,1670,1.5,128,1230,11,880,74,2009-05-01,0.0
80,2-STORY 1946 & NEWER,RL,100,13000,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,Gable,CompShg,VinylSd,VinylSd,576,TA,Gd,CBlock,Gd,TA,No,Rec,Unf,448,896,GasA,TA,Y,SBrkr,1182,0,2142,4,1,Gd,8,Typ,1,Gd,Attchd,1968,Fin,1,509,TA,TA,Y,No,No,No,0,Jun,2009,WD,Normal,193500,63.69321922317314,41,3038,2.5,324,2590,12,509,72,2009-06-01,0.0
81,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,32,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,Hip,CompShg,VinylSd,VinylSd,443,TA,Gd,PConc,Ex,Gd,No,GLQ,Unf,36,1237,GasA,Ex,Y,SBrkr,1337,0,1337,2,1,TA,5,Typ,0,No,Attchd,1998,Fin,2,405,TA,TA,Y,No,No,No,0,Mar,2006,WD,Normal,153500,59.634809634809635,8,2574,2.0,199,2538,11,810,199,2006-03-01,0.0
82,1-STORY 1946 & NEWER ALL STYLES,RL,78,10206,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,468,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1530,1563,GasA,Ex,Y,SBrkr,1563,0,1563,3,1,Gd,6,Typ,1,Gd,Attchd,2007,RFn,3,758,TA,TA,Y,No,No,No,0,Oct,2008,WD,Normal,245000,78.3749200255918,1,3126,2.0,99,1596,13,2274,243,2008-10-01,0.0
83,1-STORY 1946 & NEWER ALL STYLES,RL,80,8892,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,Gable,CompShg,MetalSd,MetalSd,66,TA,TA,CBlock,TA,TA,No,Unf,Unf,1065,1065,GasA,Gd,Y,SBrkr,1065,0,1065,3,1,TA,6,Typ,0,No,Detchd,1974,Unf,2,461,TA,TA,Y,No,No,No,0,Jul,2007,COD,Normal,126500,59.389671361502344,47,2130,1.5,0,1065,10,922,74,2007-07-01,0.0
84, SPLIT OR MULTI-LEVEL,RL,0,8530,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1996,Gable,CompShg,HdBoard,HdBoard,22,TA,TA,PConc,Gd,TA,No,Unf,Unf,384,384,GasA,Gd,Y,SBrkr,804,0,1474,3,1,TA,7,Typ,1,TA,BuiltIn,1995,Fin,2,400,TA,TA,Y,No,No,Shed,700,May,2009,WD,Normal,168500,90.68891280947255,14,1858,2.5,72,1474,12,800,192,2009-05-01,0.0
85,2-STORY 1946 & NEWER,RL,121,16059,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,Hip,CompShg,HdBoard,HdBoard,284,Gd,TA,CBlock,Gd,TA,No,Unf,Unf,1288,1288,GasA,Ex,Y,SBrkr,1301,0,2417,4,1,Gd,9,Typ,1,TA,Attchd,1991,Unf,2,462,TA,TA,Y,No,No,No,0,Apr,2006,WD,Normal,260000,70.17543859649123,15,3705,2.5,82,2417,13,924,209,2006-04-01,0.0
86,2-STORY 1946 & NEWER,RL,122,11911,Pave,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,684,684,GasA,Ex,Y,SBrkr,684,0,1560,3,1,Gd,6,Typ,1,Gd,BuiltIn,2005,Fin,2,400,TA,TA,Y,No,No,No,0,Mar,2009,WD,Normal,174000,77.54010695187166,4,2244,2.5,38,1560,11,800,138,2009-03-01,0.0
87,2-STORY PUD - 1946 & NEWER,FV,40,3951,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,Gable,CompShg,VinylSd,VinylSd,76,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,612,612,GasA,Ex,Y,SBrkr,612,0,1224,2,1,Gd,4,Typ,0,No,Detchd,2009,RFn,2,528,TA,TA,Y,No,No,No,0,Jun,2009,New,Partial,164500,89.59694989106754,0,1836,2.5,234,1224,11,1056,234,2009-06-01,0.0
88,1-1/2 STORY FINISHED ALL AGES,C (all),105,8470,Pave,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1982,Hip,CompShg,Plywood,Plywood,0,Fa,Fa,CBlock,TA,Fa,No,Unf,Unf,1013,1013,GasA,TA,N,SBrkr,1013,513,1526,2,1,Fa,6,Typ,0,No,No,2005,No,0,0,No,No,N,No,MnPrv,No,0,Oct,2009,ConLD,Abnorml,85000,33.4777471445451,94,2026,1.0,156,1526,5,0,0,2009-10-01,0.0
89,1-STORY 1946 & NEWER ALL STYLES,RL,60,8070,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4,5,1995,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,402,990,GasA,Ex,Y,SBrkr,990,0,990,3,1,TA,5,Typ,0,No,No,2005,No,0,0,No,No,Y,No,No,No,0,Aug,2007,WD,Normal,123600,62.42424242424242,13,1980,1.0,0,1578,9,0,0,2007-08-01,0.0
90,1-STORY 1946 & NEWER ALL STYLES,RL,60,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,Gable,CompShg,BrkFace,Wd Sdng,0,TA,TA,Slab,No,No,No,No,No,0,0,GasA,TA,Y,FuseA,1040,0,1040,2,1,TA,4,Typ,0,No,Detchd,1950,Unf,2,420,TA,TA,Y,No,No,No,0,Jul,2006,WD,Normal,109900,105.67307692307692,56,1040,1.0,29,1040,9,840,29,2006-07-01,0.0
91,1-STORY 1946 & NEWER ALL STYLES,RL,85,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,Hip,CompShg,HdBoard,HdBoard,203,TA,TA,CBlock,TA,TA,No,Rec,Unf,635,1235,GasA,TA,Y,SBrkr,1235,0,1235,2,1,TA,6,Typ,0,No,Attchd,1961,Unf,2,480,TA,TA,Y,No,GdWo,No,0,Dec,2006,WD,Abnorml,98600,39.91902834008097,45,2470,1.0,0,1835,8,960,0,2006-12-01,0.0
92,1-STORY 1945 & OLDER,RL,80,13360,Pave,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,7,2006,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,Gd,BrkTil,Gd,TA,No,ALQ,Unf,163,876,GasA,Ex,Y,SBrkr,964,0,964,2,1,TA,5,Typ,0,No,Detchd,1921,Unf,2,432,TA,TA,Y,No,No,No,0,Aug,2009,WD,Normal,163500,88.8586956521739,88,1840,1.0,44,1677,12,864,0,2009-08-01,0.0
93,2 FAMILY CONVERSION - ALL STYLES AND AGES,C (all),60,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1998,Hip,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,Fa,Mn,Rec,Unf,168,1214,GasW,Ex,N,SBrkr,1260,0,2291,4,2,TA,9,Typ,1,Gd,Detchd,1900,Unf,2,506,TA,TA,Y,No,No,No,0,Nov,2007,WD,Normal,133900,38.20256776034237,97,3505,2.0,99,3337,12,1012,0,2007-11-01,0.0
